"domanda","opzioneA","opzioneB","opzioneC","opzioneD","soluzione","motivazione"
"1. In the past, Wide Area Networks (WAN):","Were intended as geographic networks designed mainly for low bitrate applications","Were intended as shared networks designed mainly to exchange large amount of data","Were intended as geographic networks designed mainly to exchange large amount of data","Were intended as campus networks designed mainly to connect several buildings to each other","A","WANs originally relied on low-bandwidth telecom links spread over large geographical areas."
"2. In the past, Local Area Networks (LAN):","Were intended as local networks designed mainly for low bitrate applications","Were intended as shared networks designed mainly to exchange large amount of data","Were intended as shared networks designed mainly for ""bursty"" application","Were intended as campus networks designed mainly to connect several buildings to each other","C","LANs were designed for local, high-speed, bursty traffic sharing a common medium."
"3. In networks based on a shared communication medium:","While a station is transmitting, other stations cannot transmit","While a station is transmitting, other stations can transmit only if the previous communica- tion is not directed to them","While a station is transmitting, other stations can receive and transmit at the same time","All stations can transmit at any time without any risk of collision thanks to the presence of the switch","A","In a shared medium (like a hub), collisions occur if multiple nodes transmit simultaneously, meaning only one can transmit at a time."
"4. In a LAN:","There is always a intermediate device that handles the frames","All devices have the same priority in getting access to the shared communication medium","All devices have the same priority in getting access to the shared communication medium, except a possible intermediate device that is privileged against other stations","If needed, we can configure a possible device (e.g. server) that has higher priority in getting access to the shared communication medium","B","Early LANs treated all nodes equally when accessing the shared medium, without inherent prioritization."
"5. A shared communication medium technology is characterized by:","Broadcast communication, no intermediate sistems and high flexibility","Low cost, thanks to the deployment of level 2 communication devices (L2 Switch)","Reliability, privacy reasonably guaranteed for users, but impossibility to have multiple communications at the same time between hosts","Reliability, possibility to have multiple communications at the same time between hosts, but degree of privacy","A","Shared mediums inherently broadcast signals to all connected nodes and historically lacked intermediate systems."
"6. The OSI level named ""Data Link"":","Assumes that physical-layer functions are defined, which are the ones used to allow several networks technologies (e.g. Ethernet, WiFI) to communicate together","Can implements multicast/broadcast addresses that can be exploited for Solicitation and Advertisement functions","Defines how to generate bits over the channel","Can be divided into a LCC (Link Central Control) sublevel and a MAC (Medium Access Control) sublevel","B","The Data Link layer uses MAC addressing, which includes broadcast and multicast addresses utilized by higher layer protocols (like ARP)."
"7. The OSI level named ""Physical"":","It is specified only for Ethernet networks","It is the same in all cabled networks (e.g. Ethernet, Token Ring, FDDI), and basically is derived from the specifications of the original Ethernet","It can be shared among several network technologies, witch however differ on Data-Link level (e.g., Ethernet and FDDI)","It defines the way to get access to the shared communication medium","C","The physical layer defines bit encoding and transmission, and can be common across differing Data Link implementations."
"8. The LLC (Logical Link Control) sublevel:","It has almost disappeared from modern networks","It was never able to succeed on WiFi networks, which use another framing format instead","It is present in a few protocols operating on Ethernet networks","It defines 64 bit addresses to identify the level 3 protocol contained in the frame","C","LLC is mostly legacy but is still used for specific protocols (like Spanning Tree) to identify upper-layer payloads."
"9. The MAC (Medium Access Control) sublevel:","It defines the arbitration mechanism in order to get access to the shared communication medium","It defines a field named ""Protocol Type"" that identifies the level 3 protocol contained in the frame","It is present in all LAN technologies, except in Ethernet where is usually replaced by LLC-SNAP","It defines how bits must transmitted over the physical channel","A","MAC defines the arbitration rules (like CSMA/CD) to manage and resolve access to the shared physical medium."
"10. MAC addresses:","Are allocated by government authorities","Are set by the user (or operating system) when the devices is used for the first time","Are set by the manufacturer: the first 3 bytes identify the vendor and remaining are defined by an algorithm that generates random 24 bits numbers","Are set by the manufacturer in each network interface card","D","MAC addresses are physically burned-in by vendors (3 bytes for the OUI, 3 bytes specific to the NIC)."
"11. If the operating system of a station receives all the packets that are in fact received by the network interface card:","The station does not have an IP address","The station is connected to a switch","The station has a multicast MAC address","The network card is in ""promiscuous"" mode","D","Promiscuous mode forces the NIC to pass all received traffic to the OS, bypassing the hardware MAC filter."
"12. The difference between ""frame"" and ""packet"" is:","A frame identifies level 2 data, whereas a packet identify level 3 data","A frame identifies level 3 data, whereas a packet identify level 2 data","They are synonymous","A frame identifies Ethernet data, whereas a packet identify other protocols data","A","Frames are Layer 2 Protocol Data Units (PDUs), while packets are Layer 3 PDUs."
"13. If a host is connected for the first time to a shared Ethernet LAN and the user types the PING command toward an other station:","It generates immediately and ICMP Echo Request packet toward the destination, since we are on a shared communication medium","It generates first an ARP packet in order to know the destination MAC address of the destination host, that will reply with its IP address","If the destination host belongs to a different level 3 network, it must generate a packet that discovers the MAC address of its default gateway","It generates an ARP Request, that has the side effect of updating the filtering database of all stations","C","ARP is required to find the MAC of the default gateway when the ultimate IP destination resides on a different subnet."
"14. A host ""A"" is turned on and connected for the first time to a shared Ethernet LAN. Then, the user types the PING command toward the server ""S"" ""www.polito.it"", which is connected to the same LAN. The first frame that will be generated on the network will be:","An ARP Request toward the DNS if ""S"" belongs to a different level 3 network","A DNS Query toward the DNS if ""A"" belongs to the same IP network of the DNS and the router","An ARP Request containing the router IP address in the ""Target IP Address"" field if ""S"" belongs to a different IP network compared to the host","An ARP Request containing the router IP address in the ""Target IP Address"" field if the DNS server belongs to a different IP network compared to the host","D","To resolve the URL, a DNS query is needed. If the DNS server is off-subnet, the host must first ARP for its default gateway."
"15. A frame that contains the MAC address of a router as destination address:","It will have the IP address of the router as destination IP address","It will have the IP address of a station does not belong to local LAN as destination IP address","It will have the IP address of a station that belongs to local LAN as destination IP address","It will have the IP address of the router or the one of a station that does not belong to the same IP network of the source host as destination IP address","D","The Layer 2 destination is the router's MAC, but the Layer 3 destination is the final remote IP (or the router's IP if communicating with it directly)."
"16. Before an ICMP Echo Request packet, the trasmitting station:","It always generates an ARP Request","It always generates a DNS Query","It always generates an ARP Request and a DNS Query","It does not necessarily generate additional packets","D","ARP and DNS resolutions might already be cached by the OS, so they are not always strictly generated."
"17. Main characteristics of a physical copper link, with respect to data transmission are:","Propagation speed (expressed as a fraction of the light speed), impedance of the line (expressed in AWG, American Wire Gage), size of the physical copper wire","Impedance of the line (expressed in AWG, American Wire Gage), size of the physical copper wire","Propagation speed (expressed as a fraction of the light speed), impedance of the line, size of the physical copper wire (expressed in AWG, American Wire Gage)","Propagation speed (expressed as a fraction of the light speed), impedance of the line, link length (expressed in AWG, American Wire Gage)","C","Copper links are physically defined by their propagation speed, electrical impedance, and physical wire diameter (AWG)."
"18. The AWG (American Wire Gage):","Measures the signal attenuation","Indicates the maximum noise tolerated by the cable","Measures the size of the physical copper wire","Measures the size of the core of a fiber optic link","C","AWG is the standardized measurement system for the diameter of physical copper wires."
"19. The Cross-Talk:","Is called ""Alien"" if it generated by a generic external source of noise","Is due to attenuation of a signal into a copper wire","Is due to interference generated by the other physical links in the cable","It can be present if a plug is installed in the wrong way or if the wire has several curves on its path","C","Cross-Talk is the electromagnetic interference leaking from one adjacent wire to another within the same cable."
"20. With respect to fiber optic cables:","Multimode fibers with led technology are the most recent and have the highest bandwidth","Multimode fibers have low dispersion rate and high bandwidth","Indoor cables do not need an external metallic shield","Singlemode fibers with laser technology are the most recent and have the highest bandwidth","D","Single-mode fiber uses highly focused lasers, providing the longest distances and highest potential bandwidths."
"21. In structured cabling:","The structure usually follows a tree, in which several portions are aggregated together at different levels","It is a good rule to locate the Floor Distribution and the Building Distributor in the same room, so they can be connected to each other using short 10Gb cables","Usually a ring is preferred to a tree topology because of its robustness","Copper wires can span up to 100m, plus the additional patch cords at their ends (e.g. user station and network device)","A","Structured cabling uses a hierarchical tree design to manage complexity and scale out network drops efficiently."
"22. Copper wires in a data-center:","Are not used due to very high high communication speed requested","Are heavily used throughout the entire data-center mainly for budget reasons","Are used in some portions of the data-center (where cables are reasonably short), mainly for budget reasons","Are usually used to connect disks, which are characterized by lower speed than servers","C","Copper is highly cost-effective for short distances, making it popular for Top-of-Rack connections in data centers."
