"domanda","opzioneA","opzioneB","opzioneC","opzioneD","soluzione","motivazione"
"La segnalazione a canale comune prevede che","Gli apparati di controllo delle centrali di commutazione si scambiano le informazioni di segnalazione in commutazione di pacchetto ˙","Ad ogni canale dedicato alla trasmissione dei dati d’utente sia associato un diverso canale per la segnalazione","La segnalazione tra le centrali di commutazione avvenga condividendo un solo canale via satellite","","A","Nella segnalazione a canale comune le informazioni di utente viaggiano su canali separati ma con un unico canale di segnalazione usato per controllare la segnalazione di tutti i canali utenti. Il canale di segnalazione funziona a pacchetto."
"Le caratteristiche di una topologia a maglia completamente connessa sono","Elevato numero di canali, buona tolleranza ai guasti, instradamento facile","Elevato numero di canali, buona tolleranza ai guasti, instradamento difficile","Basso numero di canali, cattiva tolleranza ai guasti, instradamento difficile","","A","vedi lucidi “Topologia a maglia”. Nella maglia completamente connessa c’è sempre una strada diretta tra ogni nodo."
"I servizi di telecomunicazione interattivi conversazionali sono caratterizzati da","Basse probabilità di errore nel trasferimento delle informazioni","Trasferimento delle informazioni in tempo reale","Memorizzazione delle informazioni in rete e consegna al destinatario in tempo differito","","B",""
"In reti a commutazione di pacchetto i fattori che inducono alla scelta di pacchetti di piccole dimensioni sono","Minore incidenza della informazione di controllo, maggiore efficienza nel trasferimento di SDU di grandi dimensioni","Migliore possibilità di parallelizzazione, minore ritardo di trasferimento, minore probabilità di errore sul bit","Migliore possibilità di parallelizzazione, minore ritardo di pacchettizzazione, minore probabilità di errore sul pacchetto","","C","La lunghezza dei pacchetti è determinata da: possibilità di parallelizzazione (pipeline), ritardo di pacchettizzazione, percentuale di informazione di controllo. Pacchetti brevi favoriscono la trasmissione in parallelo su canali diversi di pacchetti di una stessa comunicazione, pacchetti brevi riducono il ritardo di pacchettizzazione (importante per il traffico voce su rete a pacchetto), pacchetti lunghi riducono la percentuale di informazione di controllo."
"Il protocollo TCP","Fornisce un rilevamento di errore sui dati di ogni segmento mediante un checksum","Fornisce un rilevamento di errore solo sull’intestazione del segmento","Non fornisce un rilevamento e recupero di errore sui dati","","A","TCP offre funzionalità di controllo di errore sui pacchetti pervenuti grazie al campo checksum contenuto nella sua PDU. Vedi lucidi “TCP” (Fonte Wikipedia).A) Fornisce un rilevamento di errore sui dati di ogni segmento mediante un checksum.La ragione dietro questa risposta è che il protocollo TCP fornisce un rilevamento di errore sui dati di ogni segmento mediante un checksum. Il checksum è un valore calcolato sui dati del segmento, che consente di rilevare eventuali errori di trasmissione o corruzione dei dati durante il trasferimento. Quando il destinatario riceve il segmento, calcola nuovamente il checksum e lo confronta con il valore checksum ricevuto. Se i valori non corrispondono, si presume che sia avvenuto un errore durante la trasmissione.C) Non fornisce un rilevamento e recupero di errore sui dati: Questa opzione non è corretta perché il TCP fornisce un meccanismo di rilevamento degli errori mediante il checksum. Inoltre, TCP include anche meccanismi di recupero dagli errori, come l'acknowledgment e il reinvio dei segmenti persi o danneggiati.Pertanto, la risposta corretta è l'opzione A) Fornisce un rilevamento di errore sui dati di ogni segmento mediante un checksum."
"Nel modello OSI, il livello trasporto fornisce servizi","Basandosi sui servizi dal livello applicazione","Basandosi sui servizi forniti dal livello rete","Basandosi sui servizi forniti dal livello sessione","","B","Si pensi alla pila ISO/OSI. Vedi lucidi sul modello OSI."
"Quale delle seguenti affermazioni è conforme al modello di riferimento ISO/OSI?","Una (N)-entità e una (N-1)-entità possono avere lo stesso indirizzo.","Una (N)-entità può essere associata a due diversi (N-1)-indirizzi.","Due (N)-entità possono essere associate allo stesso (N-1)-indirizzo.","","B","fenomeno chiamato multi-homing"
"In un protocollo a finestra di tipo Go-Back-N può risultare conveniente aumentare la dimensione della finestra di trasmissione (misura in numero di dati)","Quando aumenta la velocità di trasmissione a pari dimensione delle unità dati e pari ritardi di trasferimento delle unità dati tra trasmettitore e ricevitore","Quando diminuisce la velocità di trasmissione a pari dimensione delle unità dati .e pari ritardi di trasferimento delle unità tra trasmettitore e ricevitore","Quando diminuisce la distanza tra trasmettitore e ricevitore, quindi i ritardi di trasferimento delle unità dati, senza variare la velocità di trasmissione","Quando aumenta la probabilità di errore sul canale","A","Efficienza di un protocollo a finestra. Supponendo di avere n=k, si ha Wt=k(1+2*(tp/tx)). All’aumentare della velocità di trasmissione, diminuisce il tempo di trasmissione tx, imponendo un aumento della Wt per mantenere l'efficienza uguale a k."
"Un protocollo a finestra di tipo Go-Back-N non richiede un aumento di complessità rispetto ad uno Stop-And-Wait relativamente a","Quantità di memoria richiesta al trasmettitore","Quantità minima di numeri di sequenza richiesti per distinguere le unità dati","Quantità di memoria richiesta al ricevitore","","C","Il Go-Back-N non richiede un aumento di complessità rispetto alla finestra di ricezione al ricevitore. Per lo Stop and Wait e per il Go-Back-N . In Stop-and-Wait basta 1 bit di sequenza (0 o 1) per distinguere un pacchetto dal successivo. In Go-Back-N invece servono più numeri di sequenza, almeno tanti da coprire la finestra di trasmissione (W_T), cioè almeno log₂(W_T + 1) bit. → Quindi anche qui aumenta la complessità."
"I protocolli Aloha ed S-Aloha","Per evitare l’interferenza tra le trasmissioni di utenti che condividono un canale broadcast assegnano ad ogni utente un intervallo temporale prefissato in cui trasmettere","Non implementano alcun controllo preventivo per evitare l’interferenza tra le trasmissioni di utenti che condividono un canale broadcast; solo nel caso di interferenza (collisione) si interviene, ripetendo la trasmissione dopo un ritardo fisso","Non implementano alcun controllo preventivo per evitare l’interferenza tra le trasmissioni di utenti che condividono un canale broadcast; solo nel caso di interferenza (collisione) si interviene, ripetendo la trasmissione dopo un ritardo casuale","","C","Aloha ha una bassa efficienza perché i nodi trasmettono senza coordinarsi tra di loro, solo nel caso di collisione si esegue un backoff: le due (o più) stazioni che hanno colliso aspettano un tempo casuale prima di ritrasmettere la PDU. Il tempo casuale serve a rompere il determinismo e se nel caso le due (o più) stazioni aspettassero lo stesso tempo, si avrebbe di nuovo una collisione con probabilità 1. In questo caso si raddoppia il massimo tempo di attesa casuale."
"L’architettura dei protocolli Internet è organizzata","In sette livelli","In quattro livelli","In sei livelli","In modo completamente non stratificato","B","Internet ad oggi, si basa sull’architettura ARPA composta da 4 livelli. I livelli sono: application, service, internetwork, network. Fonte: lucidi “Architetture Stratificate”, vedi anche videolezione."
"Il ricevitore TCP","Invia riscontri (ACK) cumulativi","Invia un- riscontro (ACK) relativo ad ogni segmento ricevuto","Non invia riscontri","","A","Per definizione TCP usa dei protocolli a finestra che fanno uso di ACK cumulativi. Vedi lucidi “TCP”."
"L’intestazione (header) del segmento TCP, ovvero la PCI del protocollo TCP","È sempre di dimensione fissa pari a 20 byte","È di dimensione variabile a seconda delle opzioni presenti","È di dimensione fissa pari a 40 byte","","B","Nell’intestazione del TCP esiste un campo Options di dimensione variabile. Vedi lucidi “TCP”."
"Gli indirizzi logici in Internet sono","Determinanti in modo completamente libero dai system administrator di ogni sottorete","Organizzati in domini","Di formato completamente libero","","B","Vedi lucidi su IP."
